source_id	bib_key	local_path	status	manuscript_role	notes
1992_pries_blood_viscosity_tube_flow	PriesEtAl1992BloodViscosityTubeFlow	public/references/01_report_foundations/1992_pries_blood_viscosity_tube_flow.pdf	current-cited	continuum and rheology foundations	cited in continuum and 1D model-hierarchy prose
2008_galdi_hemodynamical_flows	GaldiEtAl2008HemodynamicalFlows	public/references/01_report_foundations/2008_galdi_hemodynamical_flows.pdf	current-cited	Navier-Stokes and continuum foundations	cited in continuum, governing-equation, and model-hierarchy prose
2017_john_wall_shear_stress_vector_form	JohnEtAl2017WallShearStressVectorForm	public/references/01_report_foundations/2017_john_wall_shear_stress_vector_form.pdf	current-cited	wall-shear and indicator foundations	cited in 3D model and domain-notation appendix prose
2019_kumar_carreau_yasuda_hemodynamics	KumarEtAl2019CarreauYasudaHemodynamics	public/references/01_report_foundations/2019_kumar_carreau_yasuda_hemodynamics.pdf	current-cited	rheology closure context	cited in state-of-art rheology closure table
2021_liu_intracranial_stenosis_rheology	LiuEtAl2021ICASRheology	public/references/01_report_foundations/2021_liu_intracranial_stenosis_rheology.pdf	current-cited	rheology closure context	cited in state-of-art rheology closure table
2023_koppl_dimension_reduced_blood_flow	KopplHelmig2023DimensionReducedModeling	public/references/01_report_foundations/2023_koppl_dimension_reduced_blood_flow.pdf	current-cited	dimension-reduced hemodynamics foundations	cited in continuum, governing-equation, notation, and model-hierarchy prose
2011_gambaruto_geometry_rheology_sensitivity	GambarutoEtAl2011GeometryRheologySensitivity	public/references/01_report_foundations/2011_gambaruto_geometry_rheology_sensitivity.pdf	current-cited	geometry and rheology sensitivity context	cited in geometry uncertainty and synthesis prose
2026_clay_navier_stokes_equation	ClayMathematicsInstitute2022NavierStokesEquation	public/references/01_report_foundations/2026_clay_navier_stokes_equation.html	background	Navier-Stokes context	uncited after D15 focused-main-text revision; retained as Navier-Stokes background context
1973_young_tsai_steady_stenosis	YoungTsai1973SteadyStenosis	public/references/02_report_model_hierarchy/1973_young_tsai_steady_stenosis.pdf	current-cited	stenosis pressure-drop foundations	cited in review-led introduction and stenosis-model context
1973_young_tsai_unsteady_stenosis	YoungTsai1973UnsteadyStenosis	public/references/02_report_model_hierarchy/1973_young_tsai_unsteady_stenosis.pdf	current-cited	stenosis pressure-drop foundations	cited in review-led introduction and stenosis-model context
1977_peskin_numerical_analysis_blood_flow_heart	Peskin1977NumericalAnalysisBloodFlowHeart	public/references/02_report_model_hierarchy/1977_peskin_numerical_analysis_blood_flow_heart.pdf	current-cited	resolved cardiac-flow background	cited in 3D/resolved-flow hierarchy context
1999_formaggia_multiscale_circulatory_system_preliminary_analysis		public/references/02_report_model_hierarchy/1999_formaggia_multiscale_circulatory_system_preliminary_analysis.pdf	report-adjacent	multiscale circulatory modeling	needs BibLaTeX entry before citation
2002_formaggia_quarteroni_cardiovascular_modeling	QuarteroniFormaggia2004CardiovascularModeling	public/references/02_report_model_hierarchy/2002_formaggia_quarteroni_cardiovascular_modeling.pdf	current-cited	cardiovascular model hierarchy	cited in governing-equation and 3D model prose
2003_formaggia_one_dimensional_blood_flow_arteries	FormaggiaEtAl2003OneDimensionalBloodFlow	public/references/02_report_model_hierarchy/2003_formaggia_one_dimensional_blood_flow_arteries.pdf	current-cited	1D arterial model foundations	cited in selected 1D reduction and model-hierarchy prose
2003_quarteroni_geometrical_multiscale_blood_flow	QuarteroniVeneziani2003GeometricalMultiscale	public/references/02_report_model_hierarchy/2003_quarteroni_geometrical_multiscale_blood_flow.pdf	current-cited	multiscale model hierarchy	cited in selected 1D reduction and multiscale model prose
